179,1,,135,train,1220,1220,72120
563,1,,864,train,1220,1220,462770
507,1,,254,train,1220,1220,132220
433,1,,665,train,1220,1220,354590
979,1,,149,train,1220,1220,78130
938,1,,535,train,1220,1220,288480
856,1,,106,train,1220,1220,54090
171,1,,289,train,1220,1220,156260
166,1,,582,train,1220,1220,312520
537,1,,425,train,1220,1220,228380
136,1,,76,train,1220,1220,36060
97,1,,1000,train,1220,1220,540900
139,1,,365,train,1220,1220,192320
309,1,,611,train,1220,1220,324540
677,1,,91,train,1220,1220,48080
204,1,,1000,train,1220,1220,540900
657,1,,101,train,1220,1220,54090
149,1,,623,train,1220,1220,336560
384,1,,1000,train,1220,1220,540900
673,1,,1000,train,1220,1220,540900
415,2,,22,train,1220,1220,6010
647,2,,30,train,1220,1220,12020
515,2,,461,train,1220,1220,246410
11,2,,43,train,1220,1220,18030
167,2,,469,train,1220,1220,252420
622,2,,1000,train,1220,1220,540900
563,2,,864,train,1220,1220,462770
851,2,,157,train,1220,1220,84140
578,2,,42,train,1220,1220,18030
726,2,,79,train,1220,1220,42070
469,2,,232,train,1220,1220,120200
849,2,,582,train,1220,1220,312520
171,2,,289,train,1220,1220,156260
348,2,,138,train,1220,1220,72120
545,2,,210,train,1220,1220,108180
97,2,,1000,train,1220,1220,540900
139,2,,365,train,1220,1220,192320
943,2,,290,train,1220,1220,156260
176,2,,95,train,1220,1220,48080
50,2,,157,train,1220,1220,84140
515,3,,461,train,1220,1220,246410
146,3,,15,train,1220,1220,6010
286,3,,187,train,1220,1220,96160
578,3,,42,train,1220,1220,18030
310,3,,126,train,1220,1220,66110
427,3,,126,train,1220,1220,66110
171,3,,289,train,1220,1220,156260
7,3,,153,train,1220,1220,78130
971,3,,195,train,1220,1220,102170
166,3,,582,train,1220,1220,312520
881,3,,235,train,1220,1220,126210
97,3,,1000,train,1220,1220,540900
204,3,,1000,train,1220,1220,540900
407,3,,176,train,1220,1220,90150
212,3,,537,train,1220,1220,288480
593,3,,1000,train,1220,1220,540900
867,3,,991,train,1220,1220,534890
384,3,,1000,train,1220,1220,540900
653,3,,96,train,1220,1220,48080
365,3,,99,train,1220,1220,48080
25,4,,395,train,1220,1220,210350
179,4,,135,train,1220,1220,72120
515,4,,461,train,1220,1220,246410
622,4,,1000,train,1220,1220,540900
563,4,,864,train,1220,1220,462770
369,4,,268,train,1220,1220,144240
736,4,,1000,train,1220,1220,540900
694,4,,73,train,1220,1220,36060
157,4,,291,train,1220,1220,156260
357,4,,235,train,1220,1220,126210
849,4,,582,train,1220,1220,312520
370,4,,731,train,1220,1220,390650
201,4,,19,train,1220,1220,6010
97,4,,1000,train,1220,1220,540900
875,4,,25,train,1220,1220,12020
940,4,,775,train,1220,1220,414690
384,4,,1000,train,1220,1220,540900
607,4,,333,train,1220,1220,174290
161,4,,32,train,1220,1220,12020
821,4,,1000,train,1220,1220,540900
626,5,,53,train,1220,1220,24040
167,5,,469,train,1220,1220,252420
645,5,,19,train,1220,1220,6010
507,5,,254,train,1220,1220,132220
433,5,,665,train,1220,1220,354590
102,5,,614,train,1220,1220,330550
856,5,,106,train,1220,1220,54090
166,5,,582,train,1220,1220,312520
642,5,,119,train,1220,1220,60100
